Jugador,prediccion_linear,prediccion_lasso,prediccion_ridge
Lucas Tousart,182979.10714294203,183024.56830012798,344620.1525027212
Lukas Hradecky,5178020.482931786,5178057.544040266,5182516.614821432
Lukas Klostermann,10806666.713814894,10806695.581922933,10939212.49038041
Lukas Nmecha,7066980.607594923,7067009.514097733,7164086.061928944
Lukas Ullrich,11111814.725715496,11111857.062662182,11176006.785577673
Lutsharel Geertruida,17834830.640636377,17834852.58391807,17916011.67432837
Maarten Vandevoordt,10613041.715547215,10613089.025572713,10584482.99335807
Mads Pedersen,360248.57323474996,360334.4964881856,466205.5718423594
Mahmoud Dahoud,3089460.771686103,3089483.950607376,3163211.3976172265
Manuel Neuer,2110773.1735465135,2110803.0994360037,2104394.1712479275
Marcel Sabitzer,7685069.263334921,7685085.537302686,7740620.045492358
Marco Friedl,13491367.236996377,13491372.566452831,13437491.906361613
Mario Gotze,10079888.209631354,10079812.967509022,9881240.843026586
Mario Hermoso,5705828.624059432,5705791.243154517,5833746.354115271
Marius Bulter,12923331.569361378,12923356.99171771,12947841.926975505
Marius Muller,3050607.150826562,3050633.887865735,3105075.806917876
Marius Wolf,12151837.516739871,12151782.553741595,12138043.874740304
Marnon Busch,5435541.482666984,5435586.259514206,5724276.939306821
Martin Terrier,12707684.293839889,12707655.871818637,12737512.997056546
Marvin Friedrich,2781238.4050499946,2781262.32270905,2742787.934130337
Marvin Pieringer,10948393.628978657,10948569.778438555,11433196.58653532
Mathias Honsak,7881624.302968739,7881733.441192748,8122881.417032691
Mathys Tel,19589157.850139063,19589065.07141347,19462427.720542282
Matthias Ginter,12579257.839907572,12579263.33553343,12693948.928766493
Mattias Svanberg,9679117.807365293,9679166.73381327,9796887.849870298
Max Moerstedt,6632173.206837821,6632084.24817844,6646015.92927236
Maxim Leitsch,2923681.09624888,2923712.4398381505,3027192.4605095424
Maximilian Arnold,11343884.190702584,11343930.515415482,11346193.245301468
Maximilian Bauer,4732732.702300003,4732738.325283641,4812472.924189827
Maximilian Beier,24473259.59665132,24473221.178220235,24307522.803965874
Maximilian Breunig,6879061.53503417,6879089.52616934,6994202.0870882915
Maximilian Mittelstadt,23141962.82282372,23141929.56510487,23185166.63902533
Maximilian Wittek,7298211.253156417,7298338.802251207,7742582.946689322
Mergim Berisha,4364176.538757015,4364182.834849359,4366116.273027242
Mert Komur,16701817.721617604,16701775.57717755,16510470.172469668
Michael Olise,47597046.32743786,47596872.64310472,47349751.73885307
Michael Zetterer,18560605.69276426,18560554.6705904,18547024.764441103
Michy Batshuayi,3033496.440582523,3033552.7047013044,3096309.028867716
Mikkel Kaufmann,5477047.452814716,5477100.158791677,5602738.514145598
Mohamed Amoura,18099766.826266263,18099982.411150422,18827115.855338935
Morgan Guilavogui,12811375.527831275,12811450.157431504,13013301.442597648
Moritz Jenz,7425206.621833083,7425241.646568938,7606366.458738718
Moritz Nicolas,14127507.855051728,14127506.979272695,14025458.666970488
Myron Boadu,15242049.56684411,15242019.298315816,15257695.15180273
Nadiem Amiri,33216638.35147887,33216575.978270493,33039414.451805864
Nathan Tella,7917622.053381132,7917728.7107176315,8159974.5123385005
Nathaniel Brown,21467499.587289333,21467558.714574426,21536790.340352394
Nediljko Labrovic,12377439.236608773,12377457.824606892,12348987.39269735
Nelson Weiper,2852435.5047809407,2852637.764410751,3476660.358899275
Nick Woltemade,26234459.39610908,26234461.40311102,26371009.449719794
Nico Elvedi,11394867.71400824,11394873.564452432,11375109.431274094
Nico Schlotterbeck,23187899.422428668,23187765.8856669,22899522.18971425
Nicolai Remberg,10626263.632460272,10626323.103319272,10675608.06068445
Nicolas Seiwald,15959702.112396816,15959737.018154405,15853519.199741326
Niels Nkounkou,8268302.16100573,8268314.707982561,8260250.202973886
Niklas Dorsch,14332217.318022981,14332192.232661232,14299358.350223366
Niklas Sule,6907144.526384806,6907094.5486741625,6885076.297453505
Nikolas Nartey,3130714.9444135837,3130650.246174829,3205100.993505735
Nikolas Veratschnig,6127429.172858004,6127481.9873369,6093137.883081666
Nnamdi Collins,20197688.893386286,20197680.96158259,20107107.248926915
Noahkai Banks,11575871.764666194,11575858.016210787,11523519.08345294
Nordi Mukiele,13488738.563019441,13488707.967386054,13577079.104615979
Oladapo Afolayan,10051296.101944175,10051306.094265087,10239076.591608388
Oliver Baumann,9013667.809682112,9013679.348379394,9010114.75517305
Oliver Burke,11589967.728777772,11590025.051455244,11813136.825576726
Olivier Deman,6832722.5893386975,6832673.812819536,6819418.912396307
Omar Marmoush,34765014.38191411,34764945.92317397,34759009.02436921
Omar Traore,7983700.807218454,7983773.039893151,8151979.04724532
Oscar Højlund,14450038.629838668,14450045.622087246,14481509.376834221
Pascal Groß,12588623.165148705,12588674.493095316,12698636.438758226
Pascal Stenzel,209350.38874075562,209390.00629171357,221758.0650496781
Patrick Drewes,5619652.002903247,5619694.419060981,5605937.451440356
Patrick Mainka,9763126.760996033,9763158.41799962,9861651.797316715
Patrick Wimmer,16095290.981729666,16095259.47727155,16192220.83035519
Patrik Schick,34447568.15339676,34447448.11637248,33883287.57575705
Paul Nebel,25438934.41381357,25439005.482312024,25415325.864789717
Peter Gulacsi,4819784.023135716,4819800.632753684,4895407.083614321
Philipp Sander,12331529.7219235,12331515.147632651,12487595.399469642
Phillip Tietz,10944483.840701263,10944559.654467084,11123853.369522275
Phillipp Mwene,7111796.63240021,7111866.99877659,7415508.325009821
Piero Hincapie,27174943.02714672,27174900.833082743,27042609.54079265
Ramon Hendriks,11013691.710515248,11013698.881724387,10930962.288873462
Ramy Bensebaini,12002215.480457257,12002239.996844612,11943435.22599684
Rani Khedira,2552774.633619465,2552843.8427688815,2646752.4653029665
Raphael Guerreiro,18898239.01127291,18898154.744849075,18594952.822210733
Rasmus Kristensen,23851803.763989396,23851817.129898664,23839590.242645152
Ridle Baku,14206358.507465625,14206410.549412139,14172378.588586379
Ritsu Doan,38212436.16801635,38212234.876089096,37601694.55537909
Robert Andrich,12198030.410041338,12198058.740068188,12053637.28487638
Robin Gosens,4826694.548345865,4826678.984085612,4925244.44017061
Robin Hack,19028936.039740473,19028931.80746124,19204048.070839934
Robin Hranac,6002128.636703616,6002125.79689042,6003645.931020148
Robin Koch,23072919.85585539,23072887.35015127,23049242.800005756
Robin Zentner,11067636.439945715,11067649.77549533,11130938.208319034
Rocco Reitz,18271225.114912637,18271156.905394457,18142801.532871183
Romano Schmid,25978107.238187116,25978097.02181516,26027148.56390585
Ruben Vargas,11521703.232111614,11521673.56695773,11630131.486384649
Sacha Boey,12169897.219752118,12169834.308173377,12088381.71721052
Salih Ozcan,2671409.812672017,2671439.5248719715,2684618.9161240067
Samuel Essende,9301725.72844713,9301841.227464635,9884674.917225774
Sebastiaan Bornauw,12842572.798646111,12842476.759633595,12650237.656668054
Serge Gnabry,14664706.524792112,14664730.322680699,14611166.621696891
Serhou Guirassy,31871141.74318243,31871103.422598265,32016991.21851167
Shuto Machino,21891060.46977172,21891101.748228982,21806643.846729074
Silvan Widmer,-2553921.597613957,-2553885.5004413947,-2394119.463807594
Sirlord Conteh,2062860.3051320817,2062947.2837927174,2282150.799738582
Skelly Alvero,6969921.913443783,6969926.646212011,7024283.453020188
Stanley NSoki,6786178.164900592,6786142.176967691,6873933.823228473
Stefan Bell,-970918.8541387618,-970850.5971447174,-685135.9936637804
Stefan Schimmer,-3291715.623767704,-3291636.0907589216,-3162892.5819660146
Steve Mounie,2615385.230840439,2615425.590111574,2771413.4090191554
Sven Ulreich,-4598291.116117012,-4598185.573997546,-4464869.711484486
Thomas Keller,4130304.1238374766,4130336.27603791,4093497.7517349552
Tiago Tomas,18974439.268833704,18974483.449100137,18935614.42525385
Tidiam Gomis,12307765.75820577,12307765.240560014,12209960.155330732
Tim Breithaupt,9137641.885004668,9137657.88132738,9218635.00739409
Tim Drexler,9812650.676345179,9812641.846798899,9720303.531038703
Tim Kleindienst,26303381.513232306,26303420.874604248,26354362.789347846
Tim Siersleben,5915546.062574698,5915546.062530173,5893416.530138704
Timothy Chandler,-4230316.018547513,-4230321.371573869,-4116853.3668836392
Tobias Sippel,-5097746.081633862,-5097638.554561447,-4956259.013751145
Tom Bischof,32340729.18218537,32340649.87317236,31834228.44285161
Tom Krauß,5557820.051470384,5557904.046499528,5820214.446244581
Umut Tohumcu,10288855.851935428,10288793.388245553,10121297.679477915
Valentin Gendrey,10405591.274229487,10405601.273523288,10521331.01288329
Victor Boniface,20795231.440649033,20795170.169871606,20761862.705919906
Viggo Gebel,11997663.874803253,11997577.36485738,11996102.186267957
Waldemar Anton,20956337.39087794,20956296.007736556,20798301.050122976
Willi Orban,18162724.4320696,18162684.604476616,18154614.56702958
Xaver Schlager,1164825.5235150568,1164891.366941264,1289851.8340009283
Xavi Simons,31718250.76069206,31718151.238223504,31521358.798732925
Yan Couto,17774741.941171087,17774737.601517,17759818.614973463
Yannik Keitel,6637268.994975138,6637268.181871449,6576446.402636298
Yussuf Poulsen,3686693.1071511805,3686706.9791726153,3759501.6405467745
Yusuf Kabadayı,8702661.56754728,8702663.748682462,8718567.916473033
